Sr. No.,Department,Program,Course Name,Course Code,Course Type,Theory Credits,Practical Credits,Internal,MCQ,Theory,Created At
1,Computer Science and Engineering,UG,Advance Graph Theory,CSE05E602,DSE,3.0,,30.0,20.0,50.0,2024-12-13 23:15:52
2,Computer Science and Engineering,UG,Advanced Machine Learning,CSE05C403,Core,3.0,,30.0,20.0,50.0,2024-12-12 03:10:55
3,Computer Science and Engineering,UG,Advanced Statistical Foundation for Data Science,CSE05C306,Core,3.0,,20.0,20.0,60.0,2024-12-12 03:01:30
4,Computer Science and Engineering,UG,AI,CSE05C601,Core,4.0,,20.0,20.0,60.0,2025-01-22 05:07:16
5,Computer Science and Engineering,UG,AI,CSN05C401,Core,4.0,,20.0,20.0,60.0,2025-01-22 05:09:49
6,Computer Science and Engineering,UG,Artificial Intelligence,CSE05C601,Core,3.0,1.0,30.0,20.0,50.0,2024-12-13 02:42:34
7,Computer Science and Engineering,UG,Artificial Intelligence (For students of BCA (H) in Al ML,CSN05C401,SEC,3.0,,40.0,,60.0,2024-08-08 04:00:01
8,Computer Science and Engineering,UG,Basic Mathematics,CSN-05GX01,GE,4.0,,20.0,20.0,60.0,2024-08-08 03:18:39
9,Computer Science and Engineering,UG,Big Data Analytics (For students of BCA (H) in Data Analytics),CSN05C502,DSE,3.0,2.0,20.0,20.0,60.0,2024-08-23 03:15:14
10,Computer Science and Engineering,UG,Big Data Technologies,CSE05C701,Core,3.0,1.0,30.0,20.0,50.0,2024-12-13 23:18:00
11,Computer Science and Engineering,UG,Bioinformatics,CSE05C703,Core,3.0,,30.0,20.0,50.0,2024-12-13 23:29:09
12,Computer Science and Engineering,UG,Business Intelligence,CSE05E503,DSE,3.0,,30.0,20.0,50.0,2024-12-13 01:16:07
13,Computer Science and Engineering,UG,Business Managenr,xxxxxx,Core,4.0,,20.0,20.0,60.0,2025-02-07 04:44:25
14,Computer Science and Engineering,UG,Capstone Project,CSN05K501,Core,4.0,,40.0,,60.0,2024-08-08 04:12:39
15,Computer Science and Engineering,UG,Capstone Project-I,CSE05K601,PROJECT,,3.0,,,,2024-12-13 23:11:48
